white%,black%,hispanic%,25/3%,100/20%,fiber%,geoid
0.5737623762376237,0.23242574257425744,0.12821782178217822,100.0,100.0,27.3543633433111,37001020100
0.29683345419386026,0.2948996857626299,0.3497703649987914,100.0,100.0,1.89845474613687,37001020200
0.19051250762660157,0.5061012812690665,0.2544234289200732,100.0,100.0,63.4618269086546,37001020400
0.6544766708701135,0.15561160151324085,0.1301387137452711,100.0,100.0,56.4238745574102,37001020501
0.26541056059548734,0.4042800651314259,0.27936729471970223,100.0,100.0,56.907659269864,37001020502
0.8678233438485804,0.033123028391167195,0.05457413249211356,100.0,100.0,83.9074125103334,37001020601
0.7413312076524512,0.10920685532084495,0.09127142287764049,100.0,100.0,37.2360133382734,37001020602
0.6470705460342766,0.1739736946990833,0.10143483459545635,100.0,100.0,46.046416101869,37001020701
0.48390282441240373,0.3144380801896109,0.1289749160576733,100.0,100.0,59.1222200354261,37001020702
0.5398963730569948,0.21658031088082902,0.17357512953367876,100.0,100.0,66.508875739645,37001020801
0.6809879084126575,0.11396964239773605,0.14561358374067404,100.0,100.0,26.8971104509857,37001020902
0.49849397590361444,0.2816265060240964,0.1478413654618474,100.0,100.0,12.2574385510996,37001021101
0.6225257875662114,0.2157792026763312,0.09283523836074714,100.0,100.0,80.3248136315229,37001021102
0.4099920697858842,0.2851704996034893,0.2548770816812054,100.0,100.0,57.6885083964439,37001021201
0.6122292505271228,0.16082039486294805,0.15928694652098907,99.5023885350319,99.5023885350319,58.2205414012739,37001021204
0.5452718824563607,0.27477081501946504,0.08074846163506216,99.9425947187141,99.9425947187141,13.4328358208955,37001021205
0.5810107766629505,0.23411371237458195,0.11166852471200298,100.0,100.0,5.42910837335561,37001021206
0.7212692967409948,0.1292166952544311,0.08719268153230417,100.0,100.0,9.29899856938484,37001021207
0.6102298478471997,0.25768857235351245,0.07413402395597281,91.9829986809321,91.9829986809321,0.762128096145391,37001021300
0.8665667166416792,0.047976011994003,0.05172413793103448,85.667107001321,85.667107001321,15.1915455746367,37001021400
0.8629807692307693,0.06271853146853147,0.03518356643356643,98.6468458166571,98.6468458166571,0.0,37001021500
0.7570963760798833,0.11264445192415573,0.0670930102098059,100.0,100.0,15.2122330609017,37001021600
0.8019331863659488,0.08173647617432593,0.04731219264032559,100.0,100.0,42.1489061397318,37001021702
0.6212691246551292,0.17858038625532982,0.08665663406069726,99.8970840480274,99.8970840480274,48.8164665523156,37001021703
0.8614534636634085,0.05291117722056948,0.04483637909052274,92.7222659323367,92.6239181746656,48.3280881195909,37001021801
0.8758982863460475,0.02570480928689884,0.05583195135433942,99.5325953259533,99.3357933579336,21.820418204182,37001021802
0.8685075608152532,0.03944773175542406,0.04766600920447074,89.1120815138282,89.1120815138282,42.2416302765648,37001021803
0.8257019438444925,0.06004319654427646,0.06457883369330454,99.4836488812392,99.4836488812392,14.3622107477529,37001021901
0.7391500904159132,0.06555153707052441,0.13811030741410488,97.5940423906817,97.5940423906817,17.0135573801795,37001021902
0.7619047619047619,0.08858739026336791,0.08858739026336791,100.0,100.0,19.364238410596,37001022001
0.6885732457070172,0.09221963112147552,0.14627941488234047,100.0,99.7516042227282,6.33409232043055,37001022002
0.9148826412174361,0.025793139025019344,0.024503482073768377,94.0397350993377,50.6990434142752,2.45278390973755,37003040200
0.7836383207750269,0.09841611563893587,0.06566200215285253,100.0,98.8850384209733,0.0,37003040400
0.8123475609756098,0.04496951219512195,0.09603658536585366,98.3273766976412,87.8341672623302,0.0,37003040500
0.8015822784810127,0.10284810126582279,0.03860759493670886,100.0,99.1338582677165,0.0,37003040600
0.8435189748644653,0.009857072449482503,0.11828486939379004,99.487929773226,97.7322604242868,88.5393806388686,37005950100
0.7892078681552366,0.015151515151515152,0.1634768740031898,100.0,100.0,100.0,37005950200
0.9106910039113429,0.001955671447196871,0.06290743155149935,100.0,100.0,100.0,37005950300
0.9167000400480577,0.0032038446135362435,0.03283940728874649,100.0,100.0,100.0,37009970200
0.9518828451882845,0.0012552301255230125,0.015899581589958158,100.0,100.0,100.0,37009970300
0.8940366972477064,0.004357798165137615,0.0731651376146789,99.2792028831885,99.2792028831885,99.2792028831885,37009970400
0.8025116467490379,0.11221389507798259,0.05509418675308892,97.4398460057748,29.5283926852743,0.0,37011930400
0.3096356275303644,0.3266396761133603,0.31157894736842107,100.0,100.0,9.57878315132605,37001020802
0.5166623611469905,0.20330663911134073,0.21518987341772153,100.0,100.0,60.4633593553261,37001020901
0.340014666340748,0.36152529943779027,0.235883647030066,100.0,100.0,16.3006344558321,37001021000
0.8853118712273642,0.04800229951135384,0.030181086519114688,100.0,100.0,0.0,37001021701
0.9067118226600985,0.013238916256157635,0.04649014778325123,98.2879595846197,38.4226775189447,7.85854616895874,37003040100
0.9119741100323625,0.025889967637540454,0.024271844660194174,100.0,91.6204559457794,0.0,37003040300
0.8898626935436751,0.01621384750219106,0.03125912941863862,100.0,99.5926987479258,0.0,37003040700
0.4498742364355013,0.4753862738052461,0.01437297879985627,89.0743073047859,85.8312342569269,5.03778337531486,37007920100
0.6158752657689582,0.32742735648476257,0.01913536498936924,85.2,80.5714285714286,4.57142857142857,37007920200
0.24363636363636362,0.7026262626262626,0.019393939393939394,94.6118397731301,93.6547323644098,4.85643388869195,37007920400
0.3835104854926745,0.5484056305659293,0.03619649525998277,84.5583277140931,58.1029444819061,6.51831872330861,37007920600
0.8845273143604842,0.017664376840039256,0.0549558390578999,98.8625284367891,98.8625284367891,97.1725706857329,37011930100
